nombre,sku,precio
"KIT FAROS LED ALFA 1X4 4.5"" BLANCO CON ESTROBO",#KFALEALRC001,240.0
KIT OSRAM H7 (EQUIPO ORIGINAL),#KFOHAOS87129,1080.0
KIT LED ALFA M2 H1 Tricolor,#KFOLEALM2H13C,1400.0
KIT LED ALFA P1 H11,#KFOLEALP1H11,1600.0
SUBWOOFER ALFA CT10D4,#PSWALCT10D4,1600.0
KIT LED ALFA M1 H11 Bicolor,#KFOLEALM1H112C,300.0
KIT LED ALFA M2 H3,#KFOLEALM2H3,1060.0
KIT LED ALFA S2 H1,#KFOLEALS2H1,250.0
KIT LED ALFA S3 H13,#KFOLEALS3H13,320.0
KIT LED OSRAM H11 EQUIPO ORIGINAL,#KFOLEOS86272,6100.0
KIT LED OSRAM H7 EQUIPO ORIGINAL,#KFOLEOS86273,6100.0
